#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
-8.17416,37,16779.438835
-5.590465,72,16836.439532
-10.270389,21,16859.441262
5.160307,83,16923.78783
-7.301296,33,16955.02238
-4.4437957,100,17030.704908
-15.228209,84,17095.714528
7.3320713,100,17171.386184
-0.7541256,72,17229.731065
-8.057156,27,17256.723189
-7.262656,86,17323.060265
-8.586713,30,17352.067886
-19.96308,70,17407.74158
-3.6381247,100,17483.41978
-10.870485,84,17548.442453
-7.457441,26,17574.784315
2.950037,53,17619.115861
11.419937,100,17694.80136
3.7611132,78,17755.808015
-4.7431626,61,17805.479798
-5.4557223,45,17844.487912
-4.627612,50,17886.817262
-18.888838,95,17959.16918
-10.100937,42,17996.178527
-6.0350103,76,18055.841596
-4.5624676,74,18114.185273
2.3977108,100,18189.867707
-7.533011,72,18246.876723
-19.092167,38,18281.202585
-8.908251,38,18315.548186
-8.47803,24,18340.552661
7.7819996,96,18413.556673
-5.6961927,48,18454.559199
-15.48829,35,18486.896447
-7.6096163,24,18511.903144
-8.4812765,20,18534.231429
-11.751694,34,18565.90331
-8.59149,23,18590.253871
-9.3175125,21,18613.238664
-7.093275,46,18652.922273
-4.0051003,90,18721.934604
-1.0677528,49,18763.610223
-4.3553348,55,18809.28051
1.3837004,79,18871.292303
-7.445323,42,18908.290587
15.155218,100,18983.969305
-2.400093,77,19044.312117
10.524179,76,19103.985892
-9.08577,26,19130.326379
-9.143949,35,19162.6639
-13.259574,62,19213.006707
-8.398109,25,19238.67735
-1.9709177,55,19284.345684
-9.328124,23,19308.696676
-5.1486754,37,19342.359114
-10.349324,39,19377.371743
-4.9720874,73,19435.04467
-4.4898634,62,19485.386195
5.2134285,69,19540.38842
11.483315,100,19616.065773
-8.17703,58,19663.739033
-6.813113,25,19691.408048
-7.0776567,100,19767.07898
-7.3856716,28,19794.755483
-5.6566114,60,19843.757676
-9.051598,17,19864.093946
-9.699937,13,19881.757363
-1.8553963,35,19914.102374
-3.351162,48,19955.102719
-1.2120775,100,20030.783484
-4.307422,27,20057.786078
-7.8676286,100,20133.456699
-7.1657124,29,20161.792894
-1.2356291,100,20237.486528
-6.542101,21,20260.476232
-4.725752,36,20293.486574
-13.629972,65,20345.812925
4.8386154,70,20401.481665
0.38609886,69,20456.51069
-7.6948214,44,20494.852566
-8.175824,50,20537.846151
-5.9276624,35,20570.188746
-6.943509,25,20595.845744
2.076375,57,20642.862268
-9.592833,16,20662.537738
-6.554516,67,20716.203559
